contract_amount,ejari_property_sub_type_ar,project_name_en,ejari_bus_property_type_ar,property_usage_en,contract_id,ejari_property_sub_type_en,project_name_ar,property_usage_ar,area_id,tenant_type_en,contract_start_date,contract_end_date,nearest_metro_en,ejari_bus_property_type_id,no_of_prop,line_number,nearest_mall_en,nearest_metro_ar,ejari_bus_property_type_en,ejari_property_sub_type_id,nearest_mall_ar,tenant_type_id,annual_amount,contract_reg_type_en,ejari_property_type_en,is_free_hold,master_project_en,contract_reg_type_ar,ejari_property_type_ar,nearest_landmark_en,area_name_en,load_timestamp,nearest_landmark_ar,ejari_property_type_id,area_name_ar,project_number,actual_area,tenant_type_ar,master_project_ar,contract_reg_type_id
24000,غرفة و صالة,,وحدة,Residential,CNT142780970,1bed room+Hall,,سكني,361,Person,2013-07-29,2014-07-28,Al Qusais Metro Station,2,1,1,City Centre Mirdif,محطة مترو القصيص,Unit,1.0,سيتي سنتر مردف,0.0,23936,New,Flat,0,,جديد,شقه,Dubai International Airport,Muhaisanah Fourth,2026-02-19 01:09:55,مطار دبي الدولي,842.0,محيصنه الرابعه,,34.0,شخص,,1
45753,غرفة و صالة,,وحدة,Residential,CNT174919825,1bed room+Hall,,سكني,271,Authority,2013-08-01,2014-06-30,ADCB Metro Station,2,1,1,Dubai Mall,محطة مترو بنك أبوظبي التجاري,Unit,1.0,مول دبي,1.0,49912,Renew,Flat,0,,تجديد,شقه,Burj Khalifa,Al Karama,2026-02-19 01:09:55,برج خليفة,842.0,الكرامه,,76.0,جهة,,2
38000,أستوديو,,وحدة,Residential,CRT150149086,Studio,,سكني,368,,2013-08-01,2014-07-31,Sharaf Dg Metro Station,2,1,1,Mall of the Emirates,محطة مترو شرف دي جي,Unit,11.0,مول الإمارات,,38000,New,Studio ,0,,جديد,أستوديو,Burj Al Arab,Al Barsha First,2026-02-19 01:09:55,برج العرب,903.0,البرشاء الاولى,,1114.0,,,1
75000,محل,,وحدة,Commercial,CNT158948154,Shop,,تجاري,362,Authority,2013-08-28,2014-08-27,Baniyas Square Metro Station,2,1,1,Dubai Mall,محطة مترو ميدان بني ياس,Unit,421.0,مول دبي,1.0,75000,New,Shop,0,,جديد,محل,Dubai International Airport,Naif,2026-02-19 01:09:55,مطار دبي الدولي,1.0,نايف,,67.0,جهة,,1
90000,غرفة و صالة,MAG218,وحدة,Residential,CRT160875896,1bed room+Hall,ماج 218,سكني,330,Person,2013-09-19,2014-09-18,Marina Towers,2,1,1,Marina Mall,ابراج مارينا,Unit,1.0,مارينا مول,0.0,90000,New,Flat,1,Dubai Marina,جديد,شقه,Burj Al Arab,Marsa Dubai,2026-02-19 01:09:55,برج العرب,842.0,مرسى دبي,1145.0,83.0,شخص,دبي مارينا,1
40000,محل,,وحدة,Commercial,CRT170628796,Shop,,تجاري,363,Authority,2013-10-16,2014-10-15,Airport Free Zone,2,1,1,City Centre Mirdif,المنطقة الحرة بالمطار,Unit,421.0,سيتي سنتر مردف,1.0,40000,New,Shop,0,,جديد,محل,Dubai International Airport,Al Qusais Industrial First,2026-02-19 01:09:55,مطار دبي الدولي,1.0,القصيص الصناعيه الاولى,,2230.0,جهة,,1
10250000,غرفتين و صالة,SONDOS LILY,وحدة,Residential,CNT178656833,2 bed rooms+hall,سندس ليلي,سكني,467,Authority,2013-12-01,2015-12-14,,2,119,30,,,Unit,2.0,,1.0,10250000,New,Flat,1,Dubai Land Residence Complex,جديد,شقه,IMG World Adventures,Wadi Al Safa 5,2026-02-19 01:09:55,آي إم جي وورلد أدفينتشرز,842.0,وادي الصفا 5,832.0,102.0,جهة,مجمع دبي لاند السكني,1
160000,مستودع,,وحدة افتراضية,Commercial,CNT212955330,Warehouse,,تجاري,319,Authority,2013-12-01,2014-11-30,Creek Metro Station,5,1,1,City Centre Mirdif,محطة مترو الخور,Virtual Unit,13.0,سيتي سنتر مردف,1.0,160000,New,Warehouse,0,,جديد,مستودع,Downtown Dubai,Ras Al Khor Industrial Second,2026-02-19 01:09:55,وسط مدينة دبي,7.0,راس الخور الصناعيه الثانيه,,,جهة,,1
31300,غرفتين و صالة,,وحدة,Residential,CNT194344990,2 bed rooms+hall,,سكني,271,Authority,2014-01-01,2014-12-31,Burjuman Metro Station,2,1,1,Dubai Mall,محطة مترو برجمان,Unit,2.0,مول دبي,1.0,31300,New,Flat,0,,جديد,شقه,Dubai International Airport,Al Karama,2026-02-19 01:09:55,مطار دبي الدولي,842.0,الكرامه,,98.0,جهة,,1
33999,محل مع ميزانين,,وحدة,Commercial,CNT188019021,Shop with a mezzanine,,تجاري,367,Authority,2014-01-01,2014-12-31,Al Fahidi Metro Station,2,1,1,Dubai Mall,محطة مترو الفهيدي,Unit,17.0,مول دبي,1.0,33999,New,Shop,0,,جديد,محل,Dubai International Airport,Al Suq Al Kabeer,2026-02-19 01:09:55,مطار دبي الدولي,1.0,السوق الكبير,,35.0,جهة,,1
55000,غرفة و صالة,,وحدة,Residential,CNT174091391,1bed room+Hall,,سكني,267,Person,2014-01-01,2014-12-31,ADCB Metro Station,2,1,1,Dubai Mall,محطة مترو بنك أبوظبي التجاري,Unit,1.0,مول دبي,0.0,55000,Renew,Flat,0,,تجديد,شقه,Burj Khalifa,Al Raffa,2026-02-19 01:09:55,برج خليفة,842.0,الرفاعه,,74.0,شخص,,2
41000,غرفتين و صالة,,وحدة,Residential,CRT230574696,2 bed rooms+hall,,سكني,362,Person,2014-01-01,2014-12-31,Baniyas Square Metro Station,2,1,1,Dubai Mall,محطة مترو ميدان بني ياس,Unit,2.0,مول دبي,0.0,41000,New,Flat,0,,جديد,شقه,Dubai International Airport,Naif,2026-02-19 01:09:55,مطار دبي الدولي,842.0,نايف,,,شخص,,1
23112,غرفة و صالة,,وحدة,Residential,CNT190835455,1bed room+Hall,,سكني,343,Authority,2014-01-06,2014-08-21,Rashidiya Metro Station,2,1,1,City Centre Mirdif,محطة مترو الراشدية,Unit,1.0,سيتي سنتر مردف,1.0,36900,New,Flat,1,International City Phase 1,جديد,شقه,,Al Warsan First,2026-02-19 01:09:55,,842.0,ورسان الاولى,,69.0,جهة,المدينة العالمية - المرحلة الاولى,1
90444,غرفتين و صالة,,وحدة,Residential,CNT183996641,2 bed rooms+hall,,سكني,278,Person,2014-02-16,2015-03-15,Al Fahidi Metro Station,2,1,1,Dubai Mall,محطة مترو الفهيدي,Unit,2.0,مول دبي,0.0,83487,New,Flat,0,,جديد,شقه,Dubai International Airport,Mankhool,2026-02-19 01:09:55,مطار دبي الدولي,842.0,منخول,,136.0,شخص,,1
102000,غرفتين و صالة,MARINA PINNACLE,وحدة,Residential,CRT201384076,2 bed rooms+hall,مارينا بيناكل,سكني,330,Person,2014-03-18,2015-03-17,Mina Seyahi,2,1,1,Marina Mall,مينا السياحي,Unit,2.0,مارينا مول,0.0,102000,New,Flat,1,Dubai Marina,جديد,شقه,Burj Al Arab,Marsa Dubai,2026-02-19 01:09:55,برج العرب,842.0,مرسى دبي,817.0,113.0,شخص,دبي مارينا,1
36000,أستوديو,,وحدة,Residential,CNT216816354,Studio,,سكني,244,Person,2014-03-23,2015-03-22,Al Rigga Metro Station,2,1,1,Dubai Mall,محطة مترو الرقة,Unit,11.0,مول دبي,0.0,36000,New,Flat,0,,جديد,شقه,Dubai International Airport,Al Murqabat,2026-02-19 01:09:55,مطار دبي الدولي,842.0,المرقبات,,70.0,شخص,,1
68300,غرفتين و صالة,,وحدة,Residential,CNT206148589,2 bed rooms+hall,,سكني,355,Person,2014-04-01,2015-03-31,STADIUM Metro Station,2,1,1,City Centre Mirdif,محطة مترو الاستاد,Unit,2.0,سيتي سنتر مردف,0.0,68300,Renew,Flat,0,,تجديد,شقه,Dubai International Airport,Al Nahda First,2026-02-19 01:09:55,مطار دبي الدولي,842.0,النهده الاولى,,145.0,شخص,,2
145000,غرفتين و صالة,,فيلا,Residential,CRT238496136,2 bed rooms+hall,,سكني,441,Person,2014-04-05,2015-04-04,Dubai Internet City,4,1,1,Mall of the Emirates,مدينة دبي للإنترنت,Villa,2.0,مول الإمارات,0.0,145000,New,Villa,1,Jumeirah Village Circle,جديد,فيلا,Sports City Swimming Academy,Al Barsha South Fourth,2026-02-19 01:09:55,أكاديمية المدينة الرياضية للسباحة,841.0,البرشاء جنوب الرابعة,,240.0,شخص,قرية جميرا الدائرية,1
35000,محل,,وحدة,Commercial,CRT237139246,Shop,,تجاري,300,,2014-05-01,2015-04-30,Rashidiya Metro Station,2,1,1,City Centre Mirdif,محطة مترو الراشدية,Unit,421.0,سيتي سنتر مردف,,35000,New,Shop,0,,جديد,محل,Dubai International Airport,Al Rashidiya,2026-02-19 01:09:55,مطار دبي الدولي,1.0,الراشديه,,121.0,,,1
34500,غرفة و صالة,,وحدة,Residential,CNT226086055,1bed room+Hall,,سكني,339,Person,2014-07-01,2015-06-30,Baniyas Square Metro Station,2,1,1,Dubai Mall,محطة مترو ميدان بني ياس,Unit,1.0,مول دبي,0.0,34500,Renew,Flat,0,,تجديد,شقه,Dubai International Airport,Al Mararr,2026-02-19 01:09:55,مطار دبي الدولي,842.0,المرر,,1.0,شخص,,2
672000,غرفه سكن عمال,,وحدة,Residential,CNT234077021,Room in labor Camp,,سكني,372,Authority,2014-08-01,2015-07-31,Noor Bank Metro Station,2,14,11,Mall of the Emirates,محطة مترو نور بنك,Unit,12.0,مول الإمارات,1.0,672000,New,Labor Camps,0,,جديد,سكن عمال,Downtown Dubai,Al Goze Industrial Second,2026-02-19 01:09:55,وسط مدينة دبي,4.0,القوز الصناعيه الثانيه,,20.0,جهة,,1
12500,أستوديو,,وحدة,Residential,CNT242085202,Studio,,سكني,361,Person,2014-08-21,2015-02-20,Etisalat Metro Station,2,1,1,City Centre Mirdif,محطة مترو اتصالات,Unit,11.0,سيتي سنتر مردف,0.0,25000,Renew,Flat,0,,تجديد,شقه,Dubai International Airport,Muhaisanah Fourth,2026-02-19 01:09:55,مطار دبي الدولي,842.0,محيصنه الرابعه,,18.0,شخص,,2
25000,أستوديو,,وحدة,Residential,CRT246168596,Studio,,سكني,239,,2014-10-05,2015-10-04,Palm Deira Metro Stations,2,1,1,Dubai Mall,محطات مترو نخلة ديرة,Unit,11.0,مول دبي,,25000,New,Flat,0,,جديد,شقه,Dubai International Airport,Al Baraha,2026-02-19 01:09:55,مطار دبي الدولي,842.0,البراحه,,20.0,,,1
3047730,محل,THE DUBAI MALL,وحدة,Commercial,CNT264531032,Shop,دبي مول,تجاري,390,Authority,2014-11-01,2017-10-31,Buj Khalifa Dubai Mall Metro Station,2,1,1,Dubai Mall,محطة مترو بوج خليفة دبي مول,Unit,421.0,مول دبي,1.0,1015910,Renew,Shop,1,DownTown Dubai,تجديد,محل,Burj Khalifa,Burj Khalifa,2026-02-19 01:09:55,برج خليفة,1.0,برج خليفة,1461.0,177.0,جهة,داون تاون دبي,2
45000,مكتب,,وحدة,Commercial,CRT257918676,Office,,تجاري,367,,2014-11-07,2015-11-06,Al Fahidi Metro Station,2,1,1,Dubai Mall,محطة مترو الفهيدي,Unit,422.0,مول دبي,,45000,New,Office,0,,جديد,مكتب,Dubai International Airport,Al Suq Al Kabeer,2026-02-19 01:09:55,مطار دبي الدولي,2.0,السوق الكبير,,1.0,,,1
170000,غرفتين و صالة,,وحدة,Residential,CRT259625246,2 bed rooms+hall,,سكني,390,Person,2014-11-13,2015-11-12,Buj Khalifa Dubai Mall Metro Station,2,1,1,Dubai Mall,محطة مترو بوج خليفة دبي مول,Unit,2.0,مول دبي,0.0,170000,New,Flat,1,DownTown Dubai,جديد,شقه,Downtown Dubai,Burj Khalifa,2026-02-19 01:09:55,وسط مدينة دبي,842.0,برج خليفة,,141.0,شخص,داون تاون دبي,1
5544000,غرفه سكن عمال,,وحدة,Residential,CRT294971076,Room in labor Camp,,سكني,347,,2014-12-15,2015-12-14,Noor Bank Metro Station,2,154,78,Mall of the Emirates,محطة مترو نور بنك,Unit,12.0,مول الإمارات,,5544000,New,Labor Camps,0,,جديد,سكن عمال,Downtown Dubai,Al Goze Third,2026-02-19 01:09:55,وسط مدينة دبي,4.0,القوز الثالثه,,15.0,,,1
110000,محل,,وحدة,Commercial,CNT346593264,Shop,,تجاري,362,Authority,2015-01-01,2015-12-31,Salah Al Din Metro Station,2,2,1,Dubai Mall,محطة مترو صلاح الدين,Unit,421.0,مول دبي,1.0,110000,New,Shop,0,,جديد,محل,Dubai International Airport,Naif,2026-02-19 01:09:55,مطار دبي الدولي,1.0,نايف,,24.0,جهة,,1
54395,غرفة و صالة,,وحدة,Residential,CNT276169042,1bed room+Hall,,سكني,443,Authority,2015-01-01,2015-12-31,Dubai Internet City,2,1,1,Mall of the Emirates,مدينة دبي للإنترنت,Unit,1.0,مول الإمارات,1.0,54395,Renew,Flat,1,Barsha Heights,تجديد,شقه,Burj Al Arab,Al Thanyah First,2026-02-19 01:09:55,برج العرب,842.0,الثنيه الأولى,,70.0,جهة,مرتفعات برشا,2
6000,محل,,وحدة,Commercial,CRT281026046,Shop,,تجاري,295,Authority,2015-01-01,2015-12-31,,2,1,1,,,Unit,421.0,,1.0,6000,New,Shop,0,,جديد,محل,,Margham,2026-02-19 01:09:55,,1.0,مرغم,,60.0,جهة,,1
119385,مكتب,,وحدة,Commercial,CRT279264186,Office,,تجاري,378,,2015-01-21,2016-01-20,GGICO Metro Station,2,1,1,City Centre Mirdif,محطة مترو جي جي كو,Unit,422.0,سيتي سنتر مردف,,119385,New,Office,0,,جديد,مكتب,Dubai International Airport,Al Garhoud,2026-02-19 01:09:55,مطار دبي الدولي,2.0,القرهود,,106.0,,,1
200000,مستودع,,وحدة,Commercial,CNT271114404,Warehouse,,تجاري,319,Authority,2015-02-01,2016-01-31,Creek Metro Station,2,1,1,City Centre Mirdif,محطة مترو الخور,Unit,13.0,سيتي سنتر مردف,1.0,200000,Renew,Warehouse,0,,تجديد,مستودع,Downtown Dubai,Ras Al Khor Industrial Second,2026-02-19 01:09:55,وسط مدينة دبي,7.0,راس الخور الصناعيه الثانيه,,5500.0,جهة,,2
57000,غرفة و صالة,,وحدة,Residential,CRT281458166,1bed room+Hall,,سكني,343,Person,2015-02-12,2016-02-11,Rashidiya Metro Station,2,1,1,City Centre Mirdif,محطة مترو الراشدية,Unit,1.0,سيتي سنتر مردف,0.0,57000,Renew,Flat,1,International City Phase 1,تجديد,شقه,,Al Warsan First,2026-02-19 01:09:55,,842.0,ورسان الاولى,,61.0,شخص,المدينة العالمية - المرحلة الاولى,2
68000,غرفتين و صالة,,وحدة,Residential,CNT287070592,2 bed rooms+hall,,سكني,361,Person,2015-02-20,2016-02-19,Etisalat Metro Station,2,1,1,City Centre Mirdif,محطة مترو اتصالات,Unit,2.0,سيتي سنتر مردف,0.0,68000,Renew,Flat,0,,تجديد,شقه,Dubai International Airport,Muhaisanah Fourth,2026-02-19 01:09:55,مطار دبي الدولي,842.0,محيصنه الرابعه,,97.0,شخص,,2
50000,أستوديو,MASAAR RESIDENCES,وحدة,Residential,CRT294866246,Studio,مساكن مسار,سكني,441,Person,2015-03-10,2016-03-09,Nakheel Metro Station,2,1,1,Marina Mall,محطة مترو النخيل,Unit,11.0,مارينا مول,0.0,50000,New,Flat,1,Jumeirah Village Circle,جديد,شقه,Sports City Swimming Academy,Al Barsha South Fourth,2026-02-19 01:09:55,أكاديمية المدينة الرياضية للسباحة,842.0,البرشاء جنوب الرابعة,1358.0,55.0,شخص,قرية جميرا الدائرية,1
60375,غرفتين و صالة,,وحدة,Residential,CNT294698455,2 bed rooms+hall,,سكني,244,Person,2015-03-15,2016-03-14,Al Rigga Metro Station,2,1,1,Dubai Mall,محطة مترو الرقة,Unit,2.0,مول دبي,0.0,60375,Renew,Flat,0,,تجديد,شقه,Dubai International Airport,Al Murqabat,2026-02-19 01:09:55,مطار دبي الدولي,842.0,المرقبات,,87.0,شخص,,2
130000,غرفتين و صالة,,وحدة,Residential,CRT301542556,2 bed rooms+hall,,سكني,390,Authority,2015-04-07,2016-04-06,Buj Khalifa Dubai Mall Metro Station,2,1,1,Dubai Mall,محطة مترو بوج خليفة دبي مول,Unit,2.0,مول دبي,1.0,130000,New,Flat,1,DownTown Dubai,جديد,شقه,Downtown Dubai,Burj Khalifa,2026-02-19 01:09:55,وسط مدينة دبي,842.0,برج خليفة,,152.0,جهة,داون تاون دبي,1
2167200,غرفه سكن عمال,,وحدة,Residential,CRT373615576,Room in labor Camp,,سكني,458,,2015-04-12,2016-04-11,UAE Exchange Metro Station,2,215,11,Ibn-e-Battuta Mall,محطة مترو الإمارات العربية المتحدة للصرافة,Unit,12.0,ابن بطوطة مول,,2167200,New,Labor Camps,1,Dubai Investment Park First,جديد,سكن عمال,Expo 2020 Site,Dubai Investment Park First,2026-02-19 01:09:55,موقع إكسبو 2020,4.0,مجمع دبي للاستثمار الاول,,18.0,,مجمع دبي للاستثمار الاول,1
30000,أستوديو,,وحدة,Residential,CRT337739726,Studio,,سكني,339,Person,2015-04-20,2016-04-19,Palm Deira Metro Stations,2,1,1,Dubai Mall,محطات مترو نخلة ديرة,Unit,11.0,مول دبي,0.0,30000,New,Studio ,0,,جديد,أستوديو,Dubai International Airport,Al Mararr,2026-02-19 01:09:55,مطار دبي الدولي,903.0,المرر,,,شخص,,1
120000,محل,,وحدة,Commercial,CNT305331611,Shop,,تجاري,368,Person,2015-05-01,2016-04-30,Sharaf Dg Metro Station,2,1,1,Mall of the Emirates,محطة مترو شرف دي جي,Unit,421.0,مول الإمارات,0.0,120000,Renew,Showroom,0,,تجديد,معرض,Burj Al Arab,Al Barsha First,2026-02-19 01:09:55,برج العرب,6.0,البرشاء الاولى,,104.0,شخص,,2
51000,غرفة و صالة,,وحدة,Residential,CRT370018126,1bed room+Hall,,سكني,343,Authority,2015-06-01,2016-05-31,Rashidiya Metro Station,2,1,1,City Centre Mirdif,محطة مترو الراشدية,Unit,1.0,سيتي سنتر مردف,1.0,51000,Renew,Flat,1,International City Phase 1,تجديد,شقه,,Al Warsan First,2026-02-19 01:09:55,,842.0,ورسان الاولى,,77.0,جهة,المدينة العالمية - المرحلة الاولى,2
45500,أستوديو,,وحدة,Residential,CNT483788198,Studio,,سكني,267,Person,2015-06-28,2016-06-27,Al Fahidi Metro Station,2,1,1,Dubai Mall,محطة مترو الفهيدي,Unit,11.0,مول دبي,0.0,45500,Renew,Flat,0,,تجديد,شقه,Burj Khalifa,Al Raffa,2026-02-19 01:09:55,برج خليفة,842.0,الرفاعه,,43.0,شخص,,2
55000,محل,,وحدة,Commercial,CRT350599566,Shop,,تجاري,233,,2015-07-01,2016-06-30,Abu Baker Al Siddique Metro Station,2,1,1,,محطة مترو أبو بكر الصديق,Unit,421.0,,,55000,New,Shop,0,,جديد,محل,Dubai International Airport,Hor Al Anz,2026-02-19 01:09:55,مطار دبي الدولي,1.0,هور العنز,,40.0,,,1
35000,محل,,وحدة,Commercial,CRT341484366,Shop,,تجاري,343,Authority,2015-07-02,2016-07-01,Rashidiya Metro Station,2,1,1,City Centre Mirdif,محطة مترو الراشدية,Unit,421.0,سيتي سنتر مردف,1.0,35000,New,Shop,1,International City Phase 1,جديد,محل,,Al Warsan First,2026-02-19 01:09:55,,1.0,ورسان الاولى,,63.0,جهة,المدينة العالمية - المرحلة الاولى,1
47500,غرفة و صالة,,وحدة,Residential,CNT312444160,1bed room+Hall,,سكني,301,Person,2015-07-20,2016-07-19,Al Nahda Metro Station,2,1,1,City Centre Mirdif,محطة مترو النهضة,Unit,1.0,سيتي سنتر مردف,0.0,47500,Renew,Flat,0,,تجديد,شقه,Dubai International Airport,Al Nahda Second,2026-02-19 01:09:55,مطار دبي الدولي,842.0,النهده الثانيه,,65.0,شخص,,2
226000,معرض,,وحدة,Commercial,CNT339812446,Showroom,,تجاري,232,Authority,2015-07-20,2016-07-19,Rashidiya Metro Station,2,1,1,City Centre Mirdif,محطة مترو الراشدية,Unit,20.0,سيتي سنتر مردف,1.0,226000,Renew,Showroom,0,,تجديد,معرض,Dubai International Airport,Mirdif,2026-02-19 01:09:55,مطار دبي الدولي,6.0,مردف,,1290.0,جهة,,2
85000,غرفة و صالة,BURJ AL NUJOOM,وحدة,Residential,CRT338476926,1bed room+Hall,النجوم برج,سكني,390,,2015-07-20,2016-07-19,Buj Khalifa Dubai Mall Metro Station,2,1,1,Dubai Mall,محطة مترو بوج خليفة دبي مول,Unit,1.0,مول دبي,,85000,New,Flat,1,DownTown Dubai,جديد,شقه,Downtown Dubai,Burj Khalifa,2026-02-19 01:09:55,وسط مدينة دبي,842.0,برج خليفة,567.0,76.0,,داون تاون دبي,1
